Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
swayimg_local_build                                             77       0.92       1.32       1.59       1.30
surfingkeys_server_service                                      82       0.87       1.32       3.62       1.31
telethon_bridge_init_script                                     13       0.88       1.32       2.24       1.25
salt_monitor_watchdog_service                                   76       0.69       1.31       2.46       1.53
mpdas_config                                                    77       1.09       1.30       3.05       1.32
telethon_bridge_service                                         13       0.90       1.30       2.15       1.34
floorp_userchrome                                               77       0.85       1.29       1.82       1.33
openclaw_health_timer                                           18       0.93       1.29       1.45       1.28
salt_monitor_watchdog_timer                                     76       0.64       1.29       2.76       1.43
floorp_custom_userchrome                                        77       0.82       1.28       1.64       1.31
floorp_custom_usercontent                                       77       0.82       1.28       2.34       1.25
openclaw_config                                                 81       0.89       1.28       5.28       1.12
vicinae_service                                                 82       0.86       1.28       2.08       1.33
proxypilot_service                                              82       0.84       1.28       2.34       1.59
floorp_usercontent                                              77       0.83       1.27       1.68       1.34
openrgb_profile_service                                         82       0.82       1.27       2.17       1.35
pic_dirs_list_service                                           82       0.84       1.26       1.53       1.37
salt_drift_service                                              77       0.83       1.26       2.15       1.28
salt_drift_timer                                                77       0.84       1.26       2.56       1.34
amneziawg_tools_bin                                             77       0.95       1.19       1.71       1.08
chezmoi_source_symlink                                          77       0.81       1.14       2.44       1.25
amnezia_desktop_entry                                           77       0.90       1.12       1.51       1.17
codex_auth                                                      77       0.87       1.08       1.46       1.03
openclaw_wayland_env                                            81       0.86       1.08       1.55       1.06
avahi_config                                                    77       0.70       1.04       2.38       0.99
snapper_config_root                                             77       0.70       1.03       1.43       1.08
pacman_ignore_pkgs                                              77       0.88       1.01       1.42       1.03
alfa_slab_one_font_dir                                          77       0.85       1.01       1.30       1.04
salt_monitor_cache_dir                                          76       0.68       1.01       3.40       0.74
anurati_font_dir                                                77       0.84       1.00       1.43       1.04
netdata_override                                                77       0.68       1.00       1.28       1.04
proxypilot_config_dir                                           77       0.71       0.99      11.28       0.84
llama_embed_models_dir                                          77       0.75       0.95       1.44       1.07
gamemode_config                                                 77       0.59       0.95       1.19       0.90
mpv_scripts_dir                                                 77       0.70       0.94       2.64       0.87
supercollider_config_dir                                        77       0.76       0.94       4.76       2.23
kanata_config                                                   77       0.86       0.93       1.19       0.94
steam_library_dir                                               77       0.69       0.92       2.48       0.73
grafana_dashboards_provider                                     77       0.58       0.92       2.55       2.55
user_version_cache_dir                                          77       0.71       0.91       5.46       0.88
video_ai_output_dir                                             12       0.60       0.91       2.67       0.62
telethon_bridge_dir                                             13       0.78       0.90       1.41       0.88
amnezia_bin_dir                                                 77       0.76       0.89       1.21       0.96
sysctl_config                                                   77       0.57       0.88       1.13       0.94
pacman_salt_pkglist_hook                                        77       0.56       0.88       1.43       0.88
transmission_watch_dir                                          77       0.74       0.88       1.92       0.84
limine_set_default_deployed                                     78       0.58       0.87       1.75       0.91
greetd_session_wrapper                                          77       0.60       0.87       1.16       0.85
mpd_directories                                                154       0.66       0.87       1.47       0.82
ollama_models_dir                                               77       0.72       0.87       1.10       0.91
mail_mount_point                                                77       0.71       0.85       2.69       0.91
loki_service                                                    77       0.58       0.84       1.94       0.85
video_ai_base_dir                                               12       0.67       0.84       2.16       0.70
gamemode_start_script                                           77       0.55       0.83       1.08       0.81
promtail_service                                                77       0.57       0.83       1.89       0.84
grafana_proxypilot_dashboard                                    77       0.54       0.83       0.99       0.87
custom_udev_rules                                               77       0.55       0.82       1.29       0.79
fancontrol_service                                              77       0.56       0.81       0.91       0.79
fancontrol_setup_script                                         77       0.53       0.80       1.04       0.79
gamemode_end_script                                             77       0.53       0.80       1.01       0.79
fira_code_nerd_font_dir                                         77       0.66       0.77       1.45       1.18
kanata_config_dir                                               77       0.68       0.77       1.36       0.71
amnezia_apps_dir                                                77       0.64       0.76       1.07       0.91
amnezia_cache_dir                                               77       0.67       0.75       1.43       0.77
openclaw_config_dir                                             81       0.61       0.75       2.01       0.65
telethon_bridge_credentials_dir                                 13       0.67       0.75       1.16       0.79
music_mount_point                                               77       0.66       0.74       0.89       0.81
games_mount_point                                               77       0.63       0.74       2.54       0.76
faillock_config                                                 77       0.67       0.74       1.11       0.74
greetd_main_config                                              77       0.66       0.74       1.20       0.73
vid_mount_point                                                 77       0.65       0.73       0.99       0.79
steam_skins_dir                                                 77       0.59       0.73       2.08       0.65
doc_mount_point                                                 77       0.64       0.72       0.92       0.77
torrent_mount_point                                             77       0.63       0.72       0.93       0.77
oldschool_pc_fonts_font_dir                                     77       0.62       0.72       1.97       0.82
transmission_download_dir                                       77       0.64       0.72       1.75       0.69
loki_data_dir                                                   77       0.65       0.72       0.88       0.71
system_locale                                                   77       0.60       0.72       1.11       0.74
salt_monitor_alerts_dir                                         76       0.57       0.72       1.89       0.69
video_ai_workflows_dir                                          12       0.62       0.72       1.33       0.63
codex_config_dir                                                77       0.66       0.71       0.86       0.69
loki_subdirs                                                   231       0.60       0.71       1.76       0.69
video_ai_models_dir                                             12       0.63       0.71       1.24       0.64
mpd_fifo_conf                                                   77       0.62       0.70       0.90       0.74
telethon_bridge_media_dir                                       13       0.63       0.70       0.93       0.67
ssh_dir                                                         77       0.63       0.69       1.44       0.85
sf_pro_display_font_dir                                         77       0.60       0.69       0.99       0.70
floorp_extensions_dir                                           77       0.60       0.69       1.75       0.69
kanata_udev_rule                                                77       0.54       0.68       1.06       0.63
uinput_group                                                    77       0.45       0.68       2.29       0.59
openclaw_credentials_dir                                        81       0.61       0.67       0.79       0.64
download_cache_dir                                              77       0.61       0.67       0.84       0.67
kanata_uinput_module                                            77       0.59       0.66       0.91       0.68
openclaw_migrate_dir                                            78       0.59       0.66       0.85       0.65
kernel_modules_load                                             77       0.59       0.65       0.82       0.66
one_dir                                                         77       0.53       0.64       0.86       0.72
amneziawg_go_symlink                                            77       0.43       0.64       1.79       0.46
snapper_registered                                              77       0.59       0.63       0.85       0.65
system_hostname                                                 77       0.56       0.62       0.87       0.73
mail_directories                                                30       0.55       0.61       0.69       0.58
zsh_system_env                                                  77       0.53       0.60       0.84       0.58
zsh_system_rc                                                   77       0.54       0.59       0.69       0.58
zero_dir                                                        77       0.48       0.57       2.25       0.54
awg_symlink                                                     77       0.38       0.52       0.67       0.40
greetd_config_dir                                               77       0.40       0.48       0.68       0.45
pacman_hooks_dir                                                77       0.38       0.43       0.60       0.41
salt_daemon_venv_ready                                          77       0.35       0.41       0.48       0.39
promtail_cache_dir                                              77       0.36       0.41       0.58       0.43
zsh_config_dir                                                  77       0.37       0.40       0.51       0.42
mail_mount_fstab                                                77       0.36       0.39       0.52       0.41
music_mount_fstab                                               77       0.35       0.38       0.52       0.39
vid_mount_fstab                                                 77       0.34       0.38       0.53       0.41
torrent_mount_fstab                                             77       0.34       0.38       0.55       0.38
pacman_salt_cache_dir                                           77       0.33       0.38       0.54       0.36
system_version_cache_dir                                        77       0.35       0.38       0.51       0.38
doc_mount_fstab                                                 77       0.34       0.37       0.48       0.38
games_mount_fstab                                               77       0.34       0.37       0.46       0.39
greetd_cleanup_stale                                           231       0.19       0.32       8.96       8.96
floorp_remove_3c078156_979c_498b_8990_85f7987dd929              77       0.22       0.26       0.56       0.27
old_monitoring_1                                                76       0.23       0.26       0.35       0.27
old_monitoring_2                                                76       0.19       0.23       0.98       0.98
floorp_remove_BeautifulPurpleSky_Godie                          48       0.18       0.22       0.32       0.21
old_monitoring_3                                                76       0.17       0.21       0.30       0.24
floorp_reset_extensions_json                                    77       0.00       0.07       0.84       0.00
sysctl_apply                                                    77       0.00       0.01       0.01       0.01
salt-daemon_daemon_reload                                       77       0.01       0.01       0.01       0.01
amneziawg_go_verify                                             77       0.00       0.01       0.01       0.01
mpdas_service_file_daemon_reload                                77       0.01       0.01       0.01       0.01
ollama_daemon_reload                                            78       0.00       0.01       0.01       0.01
transmission_stop_before_settings_change                        77       0.01       0.01       0.01       0.01
custom_udev_rules_reload                                        77       0.00       0.00       0.01       0.00
fancontrol-setup_daemon_reload                                  77       0.00       0.00       0.00       0.00
fancontrol_daemon_reload                                        77       0.00       0.00       0.00       0.00
awg_verify                                                      77       0.00       0.00       0.00       0.00
amnezia_vpn_verify                                              77       0.00       0.00       0.00       0.00
qmk_udev_rules_reload                                           77       0.00       0.00       0.01       0.00
kanata_udev_rule_reload                                         77       0.00       0.00       0.01       0.00
llama_embed_daemon_reload                                       77       0.00       0.00       0.01       0.00
restart_proxypilot_on_config_change                             77       0.00       0.00       0.01       0.00
openclaw_wayland_env_daemon_reload                              81       0.00       0.00       0.01       0.00
openclaw_health_service_daemon_reload                           18       0.00       0.00       0.01       0.00
openclaw_health_timer_daemon_reload                             18       0.00       0.00       0.00       0.00
netdata_override_reload                                         77       0.00       0.00       0.00       0.00
mpdris2_user_service_daemon_reload                              82       0.00       0.00       0.01       0.00
surfingkeys_server_service_daemon_reload                        82       0.00       0.00       0.01       0.00
pic_dirs_list_service_daemon_reload                             82       0.00       0.00       0.00       0.00
vicinae_service_daemon_reload                                   82       0.00       0.00       0.00       0.00
openrgb_profile_service_daemon_reload                           82       0.00       0.00       0.01       0.00
