Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
install_flatpak_com_shatteredpixel_shatteredpixeldungeon        77      11.12      12.67      14.94      12.68
avahi_running                                                   77      11.78      12.65      15.39      13.11
install_flatpak_net_pcsx2_PCSX2                                 77      11.17      12.65      16.23      13.30
install_flatpak_net_lutris_Lutris                               77      11.23      12.54      15.50      12.84
llama_embed_enabled                                             77      11.05      12.53      15.31      13.14
install_flatpak_org_zdoom_GZDoom                                77      11.29      12.47      15.76      12.53
install_flatpak_tk_deat_Jazz2Resurrection                       77      11.27      12.42      14.92      13.13
desktop_services_enabled                                       385      10.56      12.36      23.21      12.55
grafana_running                                                 77      10.73      12.25      27.10      12.76
video_ai_comfyui_chown                                           9       2.50      12.03      86.34       2.94
salt-daemon_enabled                                             77       9.88      11.84      35.59      10.64
fancontrol_enabled                                              77      10.42      11.63      13.99      11.48
loki_enabled                                                    77       9.43      10.44      12.74      11.08
promtail_enabled                                                77       9.07      10.16      13.67      10.02
paccache_timer                                                  57       4.23       9.22     153.72       7.34
transmission_enabled                                            77       7.70       8.65      11.71       8.62
greetd_enabled                                                  77       7.37       8.40      10.04       8.09
avahi_enabled                                                   77       7.19       8.01       9.34       7.93
greetd_emergency_tty                                            77       7.09       7.73       9.12       7.26
grafana_enabled                                                 77       6.83       7.55       9.79       7.81
vnstat_enabled                                                  77       6.80       7.45       9.11       7.66
sysstat_enabled                                                 77       6.65       7.38      10.61       7.50
transmission_acl_setup                                          77       6.56       7.35       8.94       7.57
libvirtd_enabled                                                77       6.60       7.31       9.02       7.76
pcscd_socket_enabled                                            77       6.49       7.22       9.10       7.20
mount_zero                                                      77       6.17       7.15      14.68       7.20
snapper_timers                                                 154       6.14       7.08       9.13       7.32
salt_monitor_script                                             75       4.72       6.06      10.04       6.83
amneziawg_go_bin                                                77       5.26       5.88      14.20       5.55
sddm_stopped                                                    74       5.34       5.77       6.74       5.74
limine_snapper_sync_config                                      78       5.08       5.64       6.82       5.90
rfkill_service_masked                                           77       4.75       5.39       6.88       5.65
ollama_start                                                    78       4.79       5.36       8.31       5.47
pull_gemma3_27b                                                 63       4.44       5.34       6.70       4.82
pull_qwen3_14b                                                  78       4.50       5.26      15.01       4.78
tuned_stopped                                                   77       4.49       5.13       9.65       9.34
pull_qwen3_235b_a22b                                            63       4.45       5.13      18.56       5.50
pull_gemma3_12b                                                 78       4.62       5.12       6.53       5.35
telethon_bridge_config                                          13       2.70       5.08      30.44       2.93
pull_qwen2_5_coder_7b                                           78       4.42       5.04       6.25       4.76
pull_qwen3_5_27b                                                78       4.49       5.03       5.85       5.05
tdl_legacy_cleanup                                              53       2.02       5.02       8.44       2.02
pull_qwen3_coder_30b                                            78       4.49       5.00       6.37       5.21
pull_deepcoder_14b                                              78       4.44       5.00       6.09       5.11
pull_llama3_1_70b                                               63       4.44       4.97       7.36       5.15
pull_deepseek_coder_v2_16b                                      78       4.45       4.95       5.89       5.19
nct6775_module                                                  77       1.72       4.92     110.84       2.27
pull_codestral_22b                                              78       4.41       4.89       6.13       4.82
pull_qwen3_32b                                                  63       4.38       4.89       5.67       4.86
pull_starcoder2_15b                                             78       4.39       4.85       6.18       4.70
pull_qwen2_5vl_7b                                               73       0.20       4.85       6.44       4.96
rfkill_socket_masked                                            77       4.38       4.83       6.63       4.74
transmission_start                                              77       4.22       4.74       5.55       4.81
grafana_start                                                   77       4.09       4.71      10.79       4.91
llama_embed_start                                               77       3.90       4.54       5.93       4.58
neg_groups                                                      78       3.63       4.19       6.02       4.23
salt-daemon_reset_failed                                        77       3.66       4.07       5.59       4.55
avahi_reset_failed                                              77       3.55       3.92       4.96       4.20
loki_reset_failed                                               77       3.56       3.92       4.79       3.76
grafana_reset_failed                                            77       3.51       3.92       4.71       3.94
load_asus_ec_sensors                                            77       3.27       3.90      13.40       3.58
load_kvm_amd                                                    77       3.57       3.88       4.62       3.95
promtail_reset_failed                                           77       3.49       3.87       4.73       3.72
kanata_user_groups                                              77       3.34       3.85       5.30       3.58
nocow_var_log                                                   77       3.32       3.76      13.97       3.69
nocow_home_neg_local_share_ollama                               77       3.33       3.74      14.60       3.46
image_gen_providers_config                                      35       3.21       3.73       6.78       6.78
nocow_var_lib_bitcoind                                          77       3.37       3.70       4.24       3.62
load_tcp_bbr                                                    77       3.26       3.68       5.74       3.48
telethon_bridge_lingering                                       13       3.27       3.65       4.20       3.78
nocow_var_lib_jellyfin                                          77       3.37       3.62       4.12       3.76
openclaw_lingering                                              81       3.22       3.59       5.23       3.28
nocow_var_lib_containers                                        77       3.28       3.57       4.08       3.37
salt_alert_script                                               75       2.87       3.55       6.57       3.17
nocow_home_neg_cache                                            77       3.29       3.53       4.25       3.65
